word,value,type
значить,490.91,count
значить,196.0,rank
узнать,350.37,count
узнать,260.0,rank
общепризнанный,350.0,count
общепризнанный,262.0,rank
знакомый,229.36,count
знакомый,429.0,rank
знать,175.8,count
знать,576.0,rank
сознание,145.68,count
сознание,717.0,rank
знак,111.46,count
знак,992.0,rank
знание,104.49,count
знание,1047.0,rank
значение,96.16,count
значение,1146.0,rank
знаменитый,95.37,count
знаменитый,1157.0,rank
признаться,80.0,count
признаться,1386.0,rank
означать,77.31,count
означать,1455.0,rank
признать,75.04,count
признать,1499.0,rank
познакомиться,71.49,count
познакомиться,1566.0,rank
незнакомый,65.74,count
незнакомый,1707.0,rank
назначить,60.54,count
назначить,1830.0,rank
значительный,60.17,count
значительный,1844.0,rank
знакомство,48.91,count
знакомство,2233.0,rank
значительно,46.03,count
значительно,2364.0,rank
назначение,43.58,count
назначение,2477.0,rank
